"source_code","target_code","target_name"
"271106013","I20","Ischemic Heart Disease"
"271107016","I20","Ischemic Heart Disease"
"271108014","I20","Ischemic Heart Disease"
"271109018","I20","Ischemic Heart Disease"
"271112015","I20","Ischemic Heart Disease"
"271113013","I20","Ischemic Heart Disease"
"271115018","I20","Ischemic Heart Disease"
"271136016","I20","Ischemic Heart Disease"
"271148018","I20","Ischemic Heart Disease"
"271149014","I20","Ischemic Heart Disease"
"271162013","I20","Ischemic Heart Disease"
"271169016","I20","Ischemic Heart Disease"
"271170015","I20","Ischemic Heart Disease"
"271171016","I20","Ischemic Heart Disease"
"2724981000006116","I20","Ischemic Heart Disease"
"2829711000006110","I20","Ischemic Heart Disease"
"2829721000006119","I20","Ischemic Heart Disease"
"2855301000006112","I20","Ischemic Heart Disease"
"2855311000006110","I20","Ischemic Heart Disease"
"2855321000006119","I20","Ischemic Heart Disease"
"2855341000006114","I20","Ischemic Heart Disease"
"2855351000006111","I20","Ischemic Heart Disease"
"2878031000006112","I20","Ischemic Heart Disease"
"2918341000006116","I20","Ischemic Heart Disease"
"2980331000006110","I20","Ischemic Heart Disease"
"299707016","I20","Ischemic Heart Disease"
"299708014","I20","Ischemic Heart Disease"
"299709018","I20","Ischemic Heart Disease"
"299710011","I20","Ischemic Heart Disease"
"299711010","I20","Ischemic Heart Disease"
"299712015","I20","Ischemic Heart Disease"
"299714019","I20","Ischemic Heart Disease"
"299718016","I20","Ischemic Heart Disease"
"299719012","I20","Ischemic Heart Disease"
"299720018","I20","Ischemic Heart Disease"
"299721019","I20","Ischemic Heart Disease"
"299723016","I20","Ischemic Heart Disease"
"299741012","I20","Ischemic Heart Disease"
"299742017","I20","Ischemic Heart Disease"
"299745015","I20","Ischemic Heart Disease"
"299750014","I20","Ischemic Heart Disease"
"299757012","I20","Ischemic Heart Disease"
"299765010","I20","Ischemic Heart Disease"
"299776014","I20","Ischemic Heart Disease"
"299782012","I20","Ischemic Heart Disease"
"299783019","I20","Ischemic Heart Disease"
"299800012","I20","Ischemic Heart Disease"
"299804015","I20","Ischemic Heart Disease"
"299805019","I20","Ischemic Heart Disease"
"299808017","I20","Ischemic Heart Disease"
"299811016","I20","Ischemic Heart Disease"
"299812011","I20","Ischemic Heart Disease"
"299813018","I20","Ischemic Heart Disease"
"299834013","I20","Ischemic Heart Disease"
"299835014","I20","Ischemic Heart Disease"
"300200014","I20","Ischemic Heart Disease"
"3006261000006110","I20","Ischemic Heart Disease"
"3006271000006115","I20","Ischemic Heart Disease"
"300874013","I20","Ischemic Heart Disease"
"300876010","I20","Ischemic Heart Disease"
"300879015","I20","Ischemic Heart Disease"
"300881018","I20","Ischemic Heart Disease"
"300882013","I20","Ischemic Heart Disease"
"3095621000006113","I20","Ischemic Heart Disease"
"311461000000116","I20","Ischemic Heart Disease"
"3185771000006112","I20","Ischemic Heart Disease"
"3244701000006112","I20","Ischemic Heart Disease"
"324808010","I20","Ischemic Heart Disease"
"3343471000006116","I20","Ischemic Heart Disease"
"3371361000006117","I20","Ischemic Heart Disease"
"3371371000006112","I20","Ischemic Heart Disease"
"3371381000006110","I20","Ischemic Heart Disease"
"3371411000006113","I20","Ischemic Heart Disease"
"3371421000006117","I20","Ischemic Heart Disease"
"3381601000006117","I20","Ischemic Heart Disease"
"338974012","I20","Ischemic Heart Disease"
"3427201000006111","I20","Ischemic Heart Disease"
"3452181000006112","I20","Ischemic Heart Disease"
"3458791000006114","I20","Ischemic Heart Disease"
"348644016","I20","Ischemic Heart Disease"
"350346019","I20","Ischemic Heart Disease"
"350348018","I20","Ischemic Heart Disease"
"350350014","I20","Ischemic Heart Disease"
"350354017","I20","Ischemic Heart Disease"
"350376014","I20","Ischemic Heart Disease"
"3525944010","I20","Ischemic Heart Disease"
"3525945011","I20","Ischemic Heart Disease"
"3525947015","I20","Ischemic Heart Disease"
"3525948013","I20","Ischemic Heart Disease"
"3525952013","I20","Ischemic Heart Disease"
"3525953015","I20","Ischemic Heart Disease"
"3525955010","I20","Ischemic Heart Disease"
"3525956011","I20","Ischemic Heart Disease"
"3525962018","I20","Ischemic Heart Disease"
"3525965016","I20","Ischemic Heart Disease"
"3525967012","I20","Ischemic Heart Disease"
"3525968019","I20","Ischemic Heart Disease"
"3525970011","I20","Ischemic Heart Disease"
"3525971010","I20","Ischemic Heart Disease"
"3525974019","I20","Ischemic Heart Disease"
"3525975018","I20","Ischemic Heart Disease"
"3525977014","I20","Ischemic Heart Disease"
"3525979012","I20","Ischemic Heart Disease"
"3525981014","I20","Ischemic Heart Disease"
"3525983012","I20","Ischemic Heart Disease"
"3535951000006117","I20","Ischemic Heart Disease"
"3535981000006113","I20","Ischemic Heart Disease"
"354901000000117","I20","Ischemic Heart Disease"
"3565871000006113","I20","Ischemic Heart Disease"
